"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","gender","S","DD","D_pred"
"322",0,0,0,0,0,0,0,0,"W",0,"0",0
"323",0.5,0,0,0,0,0,0,0.5,"M",0.5,"0",0.934921431710749
"324",0,0,0,0,0,0,0,0,"W",0,"0",0
"325",1.5,1.5,2,1.5,2,0,1.5,1.5,"M",10,"1",17.6856095835768
"326",0,0,0,0,0,0,0,0,"W",0,"0",0
"327",0,0,0,0,0,0,0,0,"M",0,"0",0
"328",0,0,0,0,0,0,0,0,"M",0,"0",0
"329",0,0,0,0,0,0,0,0,"W",0,"0",0
"330",2.5,1.5,3,1,0,0,2.5,2,"M",10.5,"1",19.2854989097775
"331",2.5,0.5,0,0,0,0,2,2,"M",5,"1",10.5493624681167
"332",1.5,0,0,0,0,0,1.5,1.5,"W",3,"1",4.60201867867174
"333",2.5,2,0,0,0,0,0,1,"M",4.5,"1",9.39020613242852
"334",1,2.5,0,1,0,0,2,2,"M",6.5,"1",11.8175857739018
"335",0,1.5,0,0,0,0,0,1,"W",1.5,"1",3.21824994696718
"336",1.5,0.5,0,0,0,0,1.5,1.5,"M",3.5,"1",7.4526104971779
"337",1.5,0,0,0,0,0,1.5,1.5,"M",3,"1",5.1361083443658
"338",1,0,0,0,0,0,0,0.5,"W",1,"0",2.01322811040828
"339",0,0.5,0,0,0,0,0,0,"W",0.5,"0",0.934921431710749
"340",0,1.5,0,0,0,0,1.5,1.5,"M",3,"1",5.29543249710423
"341",1.5,1.5,0,0,0,0,1.5,1.5,"M",4.5,"1",8.27789546709116
"342",0,1.5,0,0,0,0,1.5,1.5,"M",3,"1",6.02301424209943
"343",3,0.5,0,0,0,0,0,0,"W",3.5,"0",8.1086451199849
"344",3,1.5,1,1.5,0,0,1.5,2,"M",8.5,"1",15.3818051012471
"345",3,2,1.5,1.5,0,0,1.5,2,"M",9.5,"1",18.7611220080896
"346",3,0.5,0,0,0,0,1.5,0,"W",5,"0",7.86828415961604
"347",1.5,1.5,0,0,0,0,0,1.5,"M",3,"1",6.2380921125796
"348",1.5,1,0,1,1.5,0,0,1.5,"M",5,"1",8.56021416355561
"349",2,1.5,0.5,0,1,0,1,1,"M",6,"1",10.642610393874
"350",1,1,0,0,1,0,0,1,"M",3,"1",5.48142783289961
"351",0.5,2,1.5,2,2,0,2,2,"M",10,"1",19.2233758250209
"352",1.5,1,0,0,0,0,0,1,"M",2.5,"1",5.47042669122536
"353",0.5,1.5,0,0,1,0,0,1,"M",3,"1",5.59510708861838
"354",0,1,0,0,0,0,0,0,"M",1,"0",2.01322811040828
"355",0,1.5,0,0,0,0,0,1,"M",1.5,"1",2.33134404923356
"356",2,0,0,1,0,0,0.5,1,"M",3.5,"1",6.41962639931278
"357",3,1.5,0,1,1,2,1.5,1.5,"M",10,"1",20.3201733855951
"358",3,2,0,0,1.5,2,1.5,1,"M",10,"1",17.6784360424908
"359",2.5,2.5,0,1,2,1.5,2,1,"M",11.5,"1",23.0200369438331
"360",1,0,0,0,0,0,1,0,"M",2,"0",3.06801245244782
"361",3,2,0,2.5,1.5,2.5,2,2,"M",13.5,"1",24.2874854802576
"362",2,0,0,0,0,0,2.5,0,"M",4.5,"0",9.15402748661661
"363",1,0,0,0,0,0,2,0,"M",3,"0",5.25674594783754
"364",1,0.5,0,2,1,2,2.5,1,"M",9,"1",17.7882922219068
"365",0,0,0,0,0,0,0,0,"W",0,"0",0
"366",0.5,0,0,0,0,0,0,0,"M",0.5,"0",1.00661405520414
"367",2,1,0,0,1,1,1,1,"M",6,"1",10.9558973180463
"368",2,1,0,0,1,1.5,2.5,1.5,"M",8,"1",14.4558722534722
"369",2,1,0,0,0.5,1.5,2,1.5,"M",7,"1",13.5755567379006
"370",0.5,1,0,0,1.5,1,2,2,"M",6,"1",10.4686197975789
